gene	length
ACP1_HORVU	555
ACP3_HORVU	632
ACP4_ARATH	807
ACPH_BOVIN	310
ACPH_HUMAN	408
ACPH_PIG	644
ACPH_RAT	1830
ACPM1_ARATH	642
ACPM2_ARATH	563
ACR10_ARATH	926
ACR12_ARATH	1047
ACR21_ORYSJ	694
ACR22_ORYSJ	388
ACR3_ARATH	561
ACR4_ARATH	720
ACR5_ARATH	342
ACR6_ARATH	749
ACR8_ARATH	332
ACR9_ARATH	1148
ACS_ARATH	1117
ACSS_MAIZE	838
ACT_PINCO	382
ACT_SCHDU	316
ACT1_MAIZE	1151
ACT1_ORYSJ	448
ACT1_TOBAC	487
ACT10_SOLTU	359
ACT11_SOLTU	811
ACT2_ORYSJ	604
ACT3_ARATH	527
ACT3_ORYSJ	854
ACT7_ARATH	677
ACT7_ORYSJ	637
ACT7_TOBAC	311
ACTM_LYTPI	479
ACY1_DICDI	669
ACY1_HUMAN	331
ACY1_MOUSE	529
ACY1_PIG	1192
ACYP_SPHWW	554
ADAL_BOVIN	489
ADAL_HUMAN	762
ADAT1_HUMAN	335
ADAT3_DANRE	757
ADAT3_MOUSE	548
ADC2_ORYSJ	905
ADCK1_HUMAN	2225
ADCK1_MOUSE	301
ADCK1_XENLA	330
ADCK1_XENTR	548
ADCK2_HUMAN	1236
ADCK4_DANRE	373
ADCK4_RAT	1646
ADCS_ORYSJ	675
ADEP_ECOLI	316
ADF2_ORYSJ	1018
ADF3_MAIZE	817
ADF3_ORYSJ	334
ADF5_ORYSJ	844
ADF7_ORYSJ	985
ADH1_MAIZE	1014
ADH2_MAIZE	576
ADHL3_ARATH	802
ADHL4_ARATH	380
ADHL5_ARATH	427
ADHL6_ARATH	432
ADHL7_ARATH	408
ADHX_MAIZE	1027
ADIP_HUMAN	555
ADK1_ARATH	310
ADK2_ARATH	792
ADLO1_ARATH	604
ADNT1_ARATH	815
ADO1_ORYSJ	844
ADO2_ORYSJ	717
ADO3_ORYSJ	977
ADPO1_ORYSJ	364
ADPO3_ORYSJ	830
ADPPT_XENLA	432
ADPRM_ORYSJ	817
ADT_ORYSJ	445
ADT1_MAIZE	1271
ADT2_MAIZE	1432
ADT3_ARATH	1581
ADT4_ARATH	773
ADT5_ARATH	388
AE7_ARATH	858
AEE18_ARATH	871
AEE19_ARATH	411
AEE21_ARATH	320
AEE7_ARATH	423
AEL1_ARATH	649
AFC1_ARATH	688
AFC2_ARATH	865
AFC3_ARATH	847
AFG1_YEAST	1091
AFR_ARATH	422
AG10A_HUMAN	330
AGAL_COFAR	354
AGAL_ORYSJ	1213
AGAL1_ARATH	835
AGAL3_ARATH	755
AGCT2_HORVU	353
AGD11_ARATH	469
AGD12_ARATH	805
AGD14_ARATH	1515
AGD2_ARATH	526
AGD3_ARATH	438
AGD4_ARATH	637
AGD5_ARATH	1616
AGD6_ARATH	1264
AGD7_ARATH	518
AGD8_ARATH	604
AGD9_ARATH	923
AGGL_ABRPR	345
AGL2_BACTQ	1218
AGLU_ORYSJ	475
AGLUP_ARATH	810
AGM1_ORYSJ	621
AGO1_ARATH	426
AGO13_ORYSJ	358
AGO16_ORYSJ	595
AGO1A_ORYSJ	451
AGO1B_ORYSJ	550
AGO1C_ORYSJ	726
AGO1D_ORYSJ	566
AGO4A_ORYSJ	632
AGO4B_ORYSJ	793
AGP30_ARATH	669
AGT21_ARATH	440
AGT22_ARATH	392
AGT23_ARATH	1186
AGUA_ARATH	1376
AGUB_ORYSJ	664
AHL1_ARATH	599
AHL10_ARATH	614
AHL13_ARATH	883
AHL9_ARATH	569
AHSA_DICDI	676
AHSA1_HUMAN	495
AHSA2_BOVIN	1011
AI5L2_ARATH	701
AI5L3_ARATH	504
AI5L5_ARATH	439
AI5L6_ARATH	770
AI5L7_ARATH	560
AIB_ARATH	665
AIFM2_TAEGU	427
AIG1_ARATH	689
AIG2_ARATH	460
AIG2L_ARATH	431
AIL1_ARATH	623
AIL5_ARATH	1059
AIL6_ARATH	674
AIM25_YEAST	411
AIM32_CLAL4	1618
AIM32_LACTC	1063
AIM32_PICGU	1213
AIP2_ARATH	956
AIR3_ARATH	443
AIR9_ARATH	569
AK1_ARATH	785
AK1H_ECOLI	782
AK2_ARATH	317
AKH1_MAIZE	392
AKH2_MAIZE	856
AKR1_NEUCR	745
AKR1_ORYSJ	494
AKR1_SOYBN	665
AKR2_ORYSI	489
AKR2_ORYSJ	630
AKR2A_ARATH	980
AKR3_ORYSI	734
AKRC9_ARATH	786
AKRCA_ARATH	635
AKRP_ARATH	499
AKT1_ORYSI	761
AKT1_ORYSJ	524
AKT2_ARATH	1078
AKT2_ORYSJ	785
AL121_ARATH	687
AL221_ARATH	642
AL2B7_ARATH	1579
AL2C4_ARATH	1118
AL3F1_ARATH	955
AL3H1_ARATH	1454
AL3I1_ARATH	540
AL7A1_BRANA	373
AL7A1_MALDO	716
AL7A1_PEA	313
AL7B4_ARATH	617
ALA1_ARATH	956
ALA10_ARATH	376
ALA11_ARATH	490
ALA12_ARATH	412
ALA2_ARATH	607
ALA2_PANMI	905
ALA3_ARATH	708
ALA4_ARATH	798
ALA5_ARATH	410
ALA6_ARATH	491
ALA8_ARATH	558
ALA9_ARATH	741
ALAT2_ARATH	356
ALAXL_PYRHO	832
ALB2_PEA	588
ALB3_ARATH	982
ALB3_MAIZE	556
ALB31_ARATH	976
ALB33_ARATH	668
ALDH_CRAPL	681
ALDO1_MAIZE	436
ALDO1_ORYSJ	437
ALDO2_MAIZE	701
ALDO2_ORYSJ	448
ALDO4_ORYSJ	322
ALDOL_ORYSJ	406
ALDR_HORVU	339
ALE2_ARATH	1443
ALF_ARATH	534
ALF_MAIZE	772
ALF_ORYSJ	406
ALF_THECA	315
ALF1_PEA	1029
ALF4_ARATH	683
ALFC_ORYSJ	1088
ALFC3_ARATH	678
ALFIN_MEDSA	654
ALFL1_ORYSJ	399
ALFL3_ARATH	338
ALFL3_ORYSJ	494
ALFL5_ORYSJ	653
ALFL6_ORYSI	788
ALFL6_ORYSJ	736
ALFL7_ARATH	574
ALFL7_ORYSI	537
ALFL7_ORYSJ	713
ALFL8_ORYSJ	662
ALFL9_ORYSI	668
ALG11_ARATH	406
ALG12_ARATH	476
ALG13_RAT	571
ALG14_MOUSE	480
ALG2_HUMAN	388
ALG2_MOUSE	739
ALG2_RHIPU	422
ALG3_ARATH	350
ALG5_DICDI	396
ALG5_DROME	410
ALG6_ARATH	349
ALG8_ARATH	331
ALG9_ARATH	625
ALGC_PSEPK	1744
ALIS1_ARATH	789
ALIS2_ARATH	927
ALIS3_ARATH	842
ALIS4_ARATH	472
ALIS5_ARATH	500
ALIX_DICDI	1593
ALKB5_MOUSE	1024
ALKB8_XENTR	495
ALKBH_ARATH	454
ALKE_BABBO	399
ALL12_OLEEU	586
ALL9_OLEEU	702
ALLN_ALLCE	695
ALLN_ALLCG	1089
ALLN1_ALLSA	419
ALLN2_ALLSA	321
ALMT3_ARATH	940
ALMT9_ARATH	515
ALMTC_ARATH	425
ALT3_ARATH	658
ALY2_ARATH	514
ALY3_ARATH	921
AMERL_ARATH	674
AMI1_ARATH	880
AMO_ARATH	754
AMO_LENCU	414
AMO_PEA	377
AMO1_ARTS1	648
AMO2_ARTS1	374
AMOH_ARTGO	407
AMPD_ARATH	2699
AMPD_ORYSJ	798
AMPL1_ORYSJ	326
AMPL2_ORYSJ	635
AMPP1_COPC7	960
AMPP1_EMENI	1044
AMPP1_PARBP	1315
AMPP1_SORMK	2366
AMPP1_TALMQ	408
AMPP1_TUBMM	2017
AMRA1_HUMAN	842
AMRA1_MOUSE	363
AMSH1_ARATH	666
AMSH2_ARATH	760
AMSH3_ARATH	709
AMT11_ORYSJ	728
AMT32_ORYSJ	1237
AMT33_ORYSJ	341
AMY_STRGR	1216
AMY_STRLM	980
AMY_STRVL	890
AMY2_ARATH	720
AMY3_ARATH	1340
AMYB_MAIZE	853
AMYB_MEDSA	956
AMYB_SOYBN	382
AMYB_TRIRP	1007
AMYB_VIGUN	674
AMYB_WHEAT	594
AN13B_HUMAN	1830
AN13B_MOUSE	860
AN13C_DANRE	1094
AN321_ORYSJ	811
ANAG_HUMAN	775
ANAN_ANACO	600
ANGLT_ROSHC	813
ANGS_PASSA	449
ANK1_HUMAN	842
ANK2_HUMAN	680
ANK3_HUMAN	1105
ANKR1_BOVIN	375
ANKZ1_HUMAN	366
ANKZ1_MOUSE	723
ANM1_ORYSJ	831
ANM3_ORYSI	305
ANM3_ORYSJ	723
ANM5_ORYSJ	546
ANM61_ORYSJ	450
ANM62_ORYSJ	467
ANR28_MOUSE	373
ANR44_MOUSE	394
ANT_ARATH	814
ANT1_ARATH	875
ANTA_GENTR	563
ANTL1_ARATH	930
ANTL2_ARATH	398
ANTR6_ARATH	1001
ANX1_ARATH	378
ANX2_ARATH	446
ANX4_FRAAN	520
ANXD1_ARATH	349
ANXD2_ARATH	412
ANXD3_ARATH	804
ANXD4_ARATH	563
ANXD5_ARATH	588
ANXD6_ARATH	427
ANXD7_ARATH	750
AOC3_ARATH	862
AOP1C_ARATH	364
AOP1L_ARATH	539
AOX1_TOBAC	393
AOX1A_ARATH	738
AOX1B_ARATH	415
AOX2_SOYBN	382
AOX2_TOBAC	396
AOX4_ARATH	760
AP1G1_ARATH	460
AP1G2_ARATH	779
AP1M2_ARATH	724
AP1S1_ARATH	714
AP1S2_ARATH	641
AP2_ARATH	667
AP2A1_ARATH	1416
AP2A2_ARATH	1490
AP2L4_ARATH	340
AP2M_ARATH	1315
AP2S_ARATH	504
AP2S1_MAIZE	320
AP3B_DICDI	323
AP3BA_ARATH	530
AP3D_ARATH	429
AP3M_ARATH	642
AP3S_ARATH	785
AP4E_ARATH	829
AP4M_ARATH	617
AP4S_ARATH	431
AP5M_ARATH	388
AP5Z1_HUMAN	1633
AP5Z1_MOUSE	1568
APAF_MOUSE	1847
APAG_MAGSA	939
APBLA_ARATH	526
APBLB_ARATH	1114
APBLC_ARATH	2301
APC1_ARATH	346
APC1_MOUSE	325
APC10_ARATH	649
APC11_ARATH	411
APC2_ARATH	396
APC3_DICDI	308
APC5_ARATH	361
APC7_ARATH	853
APE2_ARATH	550
APEH_MOUSE	1565
APG_ORYSJ	793
APG2_ARATH	1055
APG3_ARATH	759
APGM_IGNH4	473
APGM_METS5	1452
APGM_SULIY	985
APH1_ARATH	640
API5_CHICK	495
API5_DROME	687
API5_PONAB	590
APK1_ARATH	451
APK1A_ARATH	876
APK1B_ARATH	871
APK2A_ARATH	417
APK2B_ARATH	789
APK3_ARATH	548
APL_ARATH	708
APM1_ARATH	314
APM1A_ORYSJ	976
APM1B_ORYSJ	1058
APM1C_ORYSJ	522
APM1D_ORYSJ	560
APMAP_BOVIN	553
APO1_ARATH	1246
APO2_ARATH	1219
APR1_ORYSJ	1569
APRL3_ORYSJ	631
APRL4_ORYSJ	848
APRL5_ORYSJ	1072
APRL6_ORYSJ	442
APRR5_ARATH	422
APRR9_ARATH	744
APS1_ARATH	790
APS2_ARATH	1004
APS3_ARATH	617
APS4_ARATH	410
APT1_MAIZE	412
APT1_WHEAT	962
APT11_DICDI	996
APT2_ARATH	816
APT5_ARATH	428
APX1_ORYSJ	997
APX2_ORYSJ	1127
APX4_ORYSJ	664
APX5_ORYSJ	313
APX6_ARATH	981
APX6_ORYSJ	968
APX7_ORYSJ	580
APX8_ORYSJ	1031
APY1_ORYSJ	396
APY2_ORYSJ	462
APY3_ORYSJ	648
APY5_ARATH	489
APY6_ARATH	1172
APY7_ARATH	457
AQR_HUMAN	1192
AQR_MOUSE	942
ARAD1_ARATH	477
ARAE1_ORYSJ	847
ARAE2_ORYSJ	777
ARAE3_ORYSJ	392
ARAH_SHIFL	330
ARAK_ARATH	632
ARAS2_ARATH	479
ARASP_ARATH	1130
ARC1B_ARATH	1132
ARC2A_ARATH	757
ARC3_ARATH	425
ARC5_ARATH	506
ARC5A_ARATH	606
ARC6_ARATH	355
ARF_DUGJA	752
ARF_MAIZE	782
ARF_VIGUN	767
ARF1_ARATH	579
ARF1_BRARP	409
ARF1_ORYSJ	649
ARF1_PLAFA	348
ARF2_ORYSJ	521
ARF2_RAT	645
ARF3_ARATH	552
ARF5_ARATH	551
ARFA_ORYSJ	797
ARFC_ORYSJ	808
ARFD_ORYSJ	1063
ARFG_ORYSJ	1069
ARFH_ORYSJ	512
ARFI_ORYSJ	640
ARFL_ORYSI	358
ARFN_ORYSJ	585
ARFO_ORYSJ	1231
ARFP_ORYSJ	470
ARFQ_ORYSI	1333
ARFQ_ORYSJ	875
ARFR_ARATH	659
ARFR_ORYSJ	584
ARFRP_BOVIN	378
ARFRP_PONAB	1131
ARFRP_RAT	658
ARFS_ORYSJ	344
ARFU_ORYSJ	915
ARFV_ORYSJ	400
ARFW_ORYSI	1278
ARFW_ORYSJ	632
ARFX_ORYSJ	849
ARG2_VIGRR	815
ARGC_ORYSJ	761
ARGD_ALNGL	909
ARGD_ARATH	581
ARGE_ARATH	837
ARGI1_ORYSI	524
ARGI1_ORYSJ	554
ARGJ_MAIZE	442
ARGJ_SORBI	908
ARI1_ARATH	331
ARI2_ARATH	464
ARI5_ARATH	470
ARI7_ARATH	405
ARI8_ARATH	1361
ARIA_ARATH	1522
ARID1_ARATH	374
ARID2_ARATH	970
ARID3_ARATH	672
ARID4_ARATH	632
ARID5_ARATH	788
ARK1_ORYSJ	358
ARK2_ORYSJ	622
ARL3_CHLRE	523
ARL5A_HUMAN	371
ARL8A_XENTR	832
ARL8B_RAT	806
ARLY_ARATH	442
ARMC6_MOUSE	517
ARMC7_MOUSE	476
ARMC8_BOVIN	2299
AROA_ARATH	521
AROA_PETHY	446
AROA2_TOBAC	372
AROC_CAPSE	717
AROC_SYNP2	2698
AROC1_SOLLC	1028
AROD1_ARATH	608
AROD2_ARATH	1151
AROD3_ARATH	904
AROD4_ARATH	474
AROD6_ARATH	798
AROF_ORYSJ	636
AROG_ARATH	592
AROG_ORYSJ	1291
AROG_SOLLC	1064
ARP_ARATH	392
ARP1_ARATH	637
ARP2_ORYSI	1003
ARP3_ARATH	865
ARP3_ORYSJ	532
ARP4_ORYSJ	1153
ARP5_ARATH	354
ARP5_ORYSJ	527
ARP6_ORYSJ	539
ARP7_ORYSJ	656
ARP8_ORYSJ	591
ARP9_ORYSI	506
ARP9_ORYSJ	663
ARPC3_ARATH	818
ARPC4_ARATH	538
ARSA_METJA	714
ARSA_METTH	738
ARSB_DICDI	1156
ART1_ORYSJ	393
ART2_YEAST	2803
ASA1_ORYSI	334
ASA2_ORYSJ	942
ASB1_ORYSJ	703
ASB14_HUMAN	321
ASCC1_HUMAN	469
ASCC1_MOUSE	807
ASCC2_HUMAN	1230
ASCL_SOLLC	406
ASCL1_ORYSJ	1034
ASCL3_ORYSJ	536
ASD_ARATH	666
ASD1_ARATH	828
ASE1_ARATH	798
ASE2_ARATH	763
ASF1A_ARATH	454
ASF1B_ARATH	752
ASHH1_ARATH	503
ASHH2_ARATH	630
ASHH3_ARATH	813
ASHR3_ARATH	469
ASIL2_ARATH	480
ASK11_ARATH	402
ASK20_ARATH	473
ASK21_ARATH	680
ASK4_ARATH	590
ASNA_DROGR	364
ASNA_NEMVE	711
ASNS_ASPOF	1428
ASNS_DICDI	579
ASNS_MAIZE	348
ASNS_SANAU	1118
ASNS2_ORYSJ	469
ASO_CUCMA	358
ASO_CUCPM	436
ASO_TOBAC	336
ASP1_ORYSI	644
ASP1_ORYSJ	758
ASPG1_ARATH	819
ASPG2_ARATH	387
ASPG3_ARATH	348
ASPGB_ARATH	814
ASPL1_ARATH	914
ASPL2_ARATH	722
ASPR_HORVU	444
ASPR1_ORYSJ	865
ASPRX_ORYSJ	1205
ASR1_SOLLC	780
ASR3_ARATH	595
ASR3_SOLLC	839
ASSY_ARATH	677
ASTER_ARATH	381
AT101_ARATH	704
AT13A_ARATH	835
AT13B_ARATH	397
AT18A_ARATH	1516
AT18B_ARATH	522
AT18C_ARATH	613
AT18D_ARATH	784
AT18F_ARATH	1758
AT18G_ARATH	713
AT18H_ARATH	524
AT74_ARATH	507
AT7L3_DANRE	460
ATAD1_BOVIN	1143
ATAD1_RAT	1132
ATAD3_CAEEL	587
ATAD5_HUMAN	1109
ATAD5_MOUSE	341
ATB_ARATH	748
ATCA1_ARATH	802
ATCA7_ARATH	632
ATCA8_ARATH	386
ATD1A_DANRE	1254
ATD1B_DANRE	408
ATD3B_HUMAN	389
ATD3B_XENLA	813
ATE1_ARATH	1101
ATE2_ARATH	882
ATESY_MAGGA	1377
ATESY_VITVI	1396
ATG10_ARATH	588
ATG11_ARATH	661
ATG12_MEDTR	603
ATG16_ARATH	471
ATG1A_ARATH	722
ATG1B_ARATH	597
ATG1C_ARATH	911
ATG1T_ARATH	320
ATG2_ARATH	709
ATG3_ARATH	1165
ATG4A_ORYSI	360
ATG4B_ORYSI	398
ATG4B_ORYSJ	514
ATG5_ORYSI	303
ATG5_ORYSJ	331
ATG7_ARATH	555
ATG8A_ORYSJ	522
ATG8B_ORYSJ	310
ATG8C_ORYSJ	637
ATG8D_ORYSJ	500
ATG9_ARATH	988
ATI1_ARATH	951
ATK1_ARATH	398
ATK4_ARATH	472
ATK5_ARATH	1658
ATL2_ARATH	430
ATL36_ARATH	406
ATL41_ARATH	497
ATL41_ORYSJ	624
ATL46_ARATH	731
ATL47_ARATH	370
ATL48_ARATH	499
ATL5_ARATH	757
ATL52_ARATH	862
ATL53_ARATH	514
ATL55_ARATH	434
ATL59_ARATH	586
ATL61_ORYSJ	572
ATL72_ARATH	549
ATL73_ARATH	423
ATL78_ARATH	412
ATL8_ARATH	399
ATL80_ARATH	304
ATM_ARATH	798
ATOX1_ARATH	561
ATP4_ARATH	500
ATP4_IPOBA	534
ATP5E_MAIZE	479
ATP5H_ARATH	612
ATP6_TOBAC	358
ATP7_ARATH	986
ATP9_ARATH	361
ATPA_SACHY	2712
ATPAM_BETVU	312
ATPAM_ORYSJ	422
ATPB_AEGCR	395
ATPB_AGRST	564
ATPB_HORVU	401
ATPB_SACOF	442
ATPB_WHEAT	382
ATPBM_ACTDE	614
ATPBM_MAIZE	1122
ATPBM_ORYSJ	930
ATPD_CHLRE	1021
ATPD_SORBI	780
ATPD_TOBAC	858
ATPE_SORBI	376
ATPF_SORBI	385
ATPF1_HUMAN	630
ATPF2_HUMAN	868
ATPG_MAIZE	1064
ATPG3_IPOBA	746
ATPH_ZYGCR	696
ATPI_SACOF	544
ATPO_IPOBA	784
ATPX_SPIOL	1014
ATPZ_NOSS1	1511
ATPZ_SYNP6	981
ATR_ORYSI	406
ATR_ORYSJ	321
ATX1_ARATH	516
ATX10_DICDI	414
ATX10_XENTR	799
ATX2_ARATH	701
ATX3_ARATH	434
ATX3_ORYSJ	472
ATX4_ARATH	680
ATX5_ARATH	539
ATXR2_ARATH	673
ATXR3_ARATH	1323
ATXR4_ARATH	496
ATXR7_ARATH	891
AUG1_ARATH	764
AUG3_ARATH	412
AUG4_ARATH	400
AUG5_ARATH	371
AUG6_ARATH	1790
AUG7_ARATH	434
AUG8_ARATH	439
AUL1_ARATH	712
AUXI1_ARATH	666
AUXI2_ARATH	856
AVCO1_AVESA	327
AVP_HORVU	391
AVP_VIGRR	692
AVP1_ARATH	619
AVP2_ARATH	751
AVPX_ARATH	845
AVT1_YEAST	762
AXEP_POPTR	521
AXS_ORYSJ	982
AYR1_SCHPO	1032
AZG1_ARATH	575
B120_ARATH	558
B2_DAUCA	1014
B3GT2_ARATH	1414
B3GT3_ARATH	1051
B3GT4_ARATH	418
B3GT6_ARATH	545
B3GT7_ARATH	1010
B3GTA_ARATH	492
B3GTB_ARATH	866
B3GTC_ARATH	402
B3GTE_ARATH	581
B3GTF_ARATH	608
B3GTG_ARATH	458
B3GTI_ARATH	476
B3GTJ_ARATH	639
B3GTK_ARATH	568
B561A_ARATH	450
B561C_ARATH	310
B561I_ARATH	354
B561O_ARATH	984
B561P_ARATH	1063
B651B_ARATH	650
BABL_CUCSA	376
BAC1_ARATH	490
BACC_BACIU	773
BACE2_RAT	492
BADH1_ORYSJ	793
BADH2_ORYSJ	1488
BAG1_ARATH	477
BAG4_ARATH	563
BAG6_ARATH	581
BAG6_MOUSE	493
BAG6_PIG	1976
BAG7_ARATH	513
BAHC1_MOUSE	1138
BAHL2_ORYSI	442
BAHL2_ORYSJ	424
BAK1_ARATH	316
BAM1_ARATH	1014
BAM2_ARATH	1225
BAM3_ARATH	1209
BAM7_ARATH	368
BAM8_ARATH	1290
BAME1_ARATH	518
BAME2_ARATH	498
BAME3_ARATH	434
BAN_ARATH	711
BARD1_ARATH	336
BARD1_HUMAN	575
BAS1_ORYSJ	1122
BASS1_ORYSJ	488
BASS2_ORYSJ	462
BASS4_ORYSJ	790
BAT1_ARATH	321
