group	ange-pval	ange-count	ange-count	sorgh-pval	sorgh-count	sorgh-count
4CLL7_ORYSJ	0.558270735	1	1	0.697589233	1	1
4CLL9_ARATH	0.160284434	6	6	0.138157602	5	5
4CLLA_ARATH	0.020545086	10	10	0.199801424	5	5
5BPOR_DIGLA	0.681645842	3	3	0.574379776	2	2
5FCL_ARATH	0.230528241	2	2	0.947244826	1	1
5FCLL_ARATH	0.015102952	8	8	0.327155483	4	4
5MAT_ARATH	0.46377526	2	2	0.555983756	1	1
5NG4_PINTA	0.601222879	3	3	0.376971996	3	3
5NTC_DICDI	0.8801085	2	2	0.672781815	2	2
5NTC_MOUSE	0.413011418	1	1	0.521185672	2	2
5NTC_XENLA	0.682819258	1	1	NA	NA	NA
6DCS_SOYBN	0.57156796	1	1	NA	NA	NA
6HN3M_PSEPK	0.162893793	2	2	0.163112983	1	1
6PGD1_ORYSJ	0.226506725	11	11	0.361589346	5	5
6PGD2_ORYSJ	0.407835564	3	3	0.181042197	3	3
6PGL1_ORYSI	0.871904045	1	1	NA	NA	NA
6PGL1_ORYSJ	0.534336684	1	1	0.44284986	1	1
6PGL4_ORYSI	0.170999163	1	1	0.15778039	1	1
708A6_MAIZE	1	1	1	NA	NA	NA
A1CF_HUMAN	0.70051034	1	1	NA	NA	NA
A1CF_PONAB	0.780424796	2	2	NA	NA	NA
A2965_ARTBC	0.377124548	2	2	1	1	1
A60DA_DROME	0.53609934	3	3	NA	NA	NA
AAAS_ARATH	0.451176186	2	2	0.342325885	3	3
AAE1_ARATH	0.726773637	7	7	0.653051247	4	4
AAE11_ARATH	0.192802858	6	6	0.652151493	4	4
AAE13_ARATH	0.044912618	5	5	0.02942891	4	4
AAE16_ARATH	0.174626973	12	12	0.236126711	6	6
AAE17_ARATH	0.729357113	4	4	0.265746998	4	4
AAE2_ARATH	0.347276129	5	5	0.05897805	2	2
AAE5_ARATH	0.897756791	2	2	0.145738311	3	3
AAE6_ARATH	0.167989233	4	4	0.342496963	1	1
AAED1_ARATH	0.065438772	9	9	0.179671211	17	17
AAH_ORYSJ	0.253470165	4	4	0.436260835	4	4
AAMP_CANLF	0.680540874	5	5	NA	NA	NA
AAMT2_MAIZE	0.176341648	6	6	1.40E-05	5	5
AAMT3_MAIZE	0.174555025	2	2	NA	NA	NA
AAP1_ARATH	0.187302289	3	3	0.255133507	2	2
AAP2_ARATH	0.08167307	6	6	0.631049421	1	1
AAP3_ARATH	0.140988398	14	14	0.513167231	6	6
AAP4_ARATH	0.928358879	3	3	1	1	1
AAP5_ARATH	0.534186961	2	2	0.52779881	3	3
AAP6_ARATH	0.042769399	5	5	0.420216151	3	3
AAP7_ARATH	0.607825289	1	1	NA	NA	NA
AAP8_ARATH	0.302844218	3	3	NA	NA	NA
AAPC_CENCI	0.227329185	13	13	0.328072811	16	16
AAPT1_ARATH	0.51304868	7	7	0.429011532	6	6
AAPT2_ARATH	0.570942292	2	2	NA	NA	NA
AAR2_RABIT	0.682781291	1	1	NA	NA	NA
AASS_ARATH	0.237461225	5	5	0.643361781	2	2
AAT_THET8	0.867479817	1	1	NA	NA	NA
AAT1_ARATH	0.94361461	1	1	0.636484125	3	3
AAT5_ARATH	0.577785169	3	3	0.9784948	3	3
AATC_ORYSJ	0.105280246	7	7	0.067009173	3	3
AATP4_ARATH	0.285108653	4	4	1	1	1
AATP9_ARATH	0.358125031	5	5	0.924689717	1	1
AATPC_ARATH	0.519918371	2	2	NA	NA	NA
AATPF_ARATH	0.006225404	1	1	NA	NA	NA
AATPI_ARATH	0.730965448	1	1	0.283597136	1	1
AATPJ_ARATH	0.526094557	2	2	NA	NA	NA
AB10C_ARATH	0.073075545	36	36	0.116201202	16	16
AB10I_ARATH	0.397904789	2	2	0.970839393	1	1
AB11B_ARATH	0.283013404	6	6	0.375457386	6	6
AB11G_ARATH	0.054055898	18	18	0.262445107	11	11
AB11I_ARATH	0.223180111	6	6	0.009288762	5	5
AB12G_ARATH	0.081359164	4	4	0.018544291	3	3
AB12I_ARATH	0.601194108	1	1	0.536041957	2	2
AB14B_ARATH	0.284080558	1	1	NA	NA	NA
AB14C_ARATH	0.661574694	4	4	0.518269691	5	5
AB14G_ARATH	0.334085557	1	1	NA	NA	NA
AB15C_ARATH	0.683606778	2	2	0.633192523	3	3
AB15G_ARATH	0.03086239	7	7	0.016220039	4	4
AB16B_ARATH	0.30259655	1	1	NA	NA	NA
AB16G_ARATH	1	1	1	1	1	1
AB17A_HUMAN	0.963868362	1	1	0.749947369	1	1
AB17A_RAT	1	1	1	NA	NA	NA
AB17B_CHICK	0.937498346	1	1	0.328113962	2	2
AB17B_RAT	1	1	1	0.187269353	1	1
AB17C_CHICK	1	1	1	NA	NA	NA
AB17C_DANRE	0.858084122	2	2	0.223487627	3	3
AB19B_ARATH	0.201215599	1	1	NA	NA	NA
AB19G_ARATH	0.542939234	1	1	NA	NA	NA
AB19I_ARATH	0.545109437	2	2	0.405070984	2	2
AB1B_ARATH	0.186862993	4	4	NA	NA	NA
AB1C_ARATH	0.247188328	4	4	0.862725696	1	1
AB1D_ARATH	0.001367104	18	18	0.41130403	11	11
AB1F_ARATH	0.576661063	11	11	0.343966234	17	17
AB20B_ARATH	0.061945923	11	11	0.317734097	4	4
AB20I_ARATH	0.223873597	5	5	0.239670318	4	4
AB21B_ARATH	0.180675947	7	7	0.892907528	3	3
AB21I_ARATH	0.525983639	3	3	0.194939661	1	1
AB22G_ARATH	0.334192215	3	3	0.118780274	2	2
AB25B_ARATH	0.083614358	5	5	0.227987302	4	4
AB25B_ORYSJ	0.003447876	4	4	0.350907978	2	2
AB25G_ARATH	0.850564496	1	1	NA	NA	NA
AB26B_ARATH	0.379910868	8	8	0.192521636	6	6
AB28B_ARATH	0.698234563	2	2	0.110580178	5	5
AB2A_ARATH	0.871936917	3	3	0.364623474	2	2
AB2C_ARATH	0.000575006	7	7	0.072810409	4	4
AB2D_ARATH	0.060044817	7	7	0.077919015	9	9
AB2E_ARATH	0.074930886	5	5	0.070827673	4	4
AB2G_ARATH	0.537804889	2	2	0.504401828	2	2
AB35G_ORYSJ	0.563314315	3	3	0.129324729	2	2
AB36G_ORYSI	0.238558907	5	5	NA	NA	NA
AB36G_ORYSJ	0.237421544	4	4	0.409841233	2	2
AB39G_ORYSJ	0.182115724	2	2	0.130407285	4	4
AB3A_ARATH	0.670638644	2	2	NA	NA	NA
AB3C_ARATH	0.094456971	15	15	0.048696463	7	7
AB3F_ARATH	0.416084474	9	9	0.029544798	3	3
AB42G_ORYSJ	0.010672838	8	8	0.647559363	4	4
AB45G_ORYSJ	0.087044509	8	8	0.44390023	1	1
AB4B_ARATH	0.144465448	2	2	NA	NA	NA
AB4C_MAIZE	0.247095038	7	7	0.135860819	7	7
AB4F_ARATH	0.128727818	8	8	0.700189991	3	3
AB53G_ORYSJ	0.58449355	6	6	0.321930627	6	6
AB5B_ARATH	0.255561979	1	1	0.550988018	1	1
AB5F_ARATH	0.713833597	3	3	0.746083827	3	3
AB6B_ARATH	0.747453516	2	2	0.683342502	3	3
AB6C_ARATH	0.424567397	3	3	0.860331955	2	2
AB6I_ARATH	0.26264999	6	6	0.668752631	2	2
AB7A_ARATH	0.545949544	2	2	0.496187584	2	2
AB7B_ARATH	0.619966301	1	1	NA	NA	NA
AB7G_ARATH	0.196657661	3	3	0.130437876	4	4
AB7I_ARATH	0.940314585	1	1	0.666089634	2	2
AB8C_ARATH	0.24377644	6	6	0.34321982	10	10
AB8I_ARATH	0.123016066	3	3	0.403671653	3	3
AB9B_ARATH	0.036983573	3	3	NA	NA	NA
AB9C_ARATH	0.491117682	2	2	0.426155852	5	5
ABA2_NICPL	0.586598033	3	3	0.281279651	6	6
ABAH1_ORYSJ	0.11899851	4	4	NA	NA	NA
ABAH3_ORYSI	0.834876925	1	1	0.935446901	2	2
ABAH3_ORYSJ	0.495362077	2	2	0.596880181	3	3
ABD18_RAT	1	1	1	NA	NA	NA
ABHD3_HUMAN	0.222312396	1	1	NA	NA	NA
ABHDB_HUMAN	0.352491831	1	1	NA	NA	NA
ABIL1_ORYSJ	0.49439157	2	2	0.633823102	2	2
ABIL3_ORYSJ	0.688964114	1	1	NA	NA	NA
ABIL4_ORYSJ	0.298763641	1	1	0.748857815	1	1
ABP4_MAIZE	0.325422147	4	4	0.908869146	1	1
ABP5_MAIZE	0.545919187	1	1	0.077686915	2	2
ACA1_ORYSJ	0.205800766	12	12	0.303691472	5	5
ACA10_ARATH	0.906022837	2	2	NA	NA	NA
ACA2_ARATH	0.416755274	1	1	0.242149008	1	1
ACA2_ORYSJ	0.108946764	7	7	0.072837024	6	6
ACA4_ORYSJ	0.291370534	4	4	0.476806833	2	2
ACA5_ORYSJ	0.573759536	1	1	0.276278771	6	6
ACA6_ORYSJ	0.086604524	6	6	0.630049757	5	5
ACA8_ARATH	0.631709494	6	6	0.228616354	6	6
ACA9_ARATH	0.17113656	2	2	0.229186798	5	5
ACAP1_ARATH	0.306904684	3	3	0.87760457	1	1
ACBP_RICCO	0.00955762	10	10	0.275188213	7	7
ACBP1_ARATH	0.178044736	8	8	0.015060878	9	9
ACBP2_ARATH	0.850714991	1	1	0.819146873	1	1
ACBP4_ARATH	0.199332112	7	7	0.133375705	9	9
ACBP5_ARATH	0.809205133	2	2	0.511066012	1	1
ACBSY_ORYSJ	0.024755292	17	17	0.310561903	12	12
ACC1_ORYSJ	0.782463215	4	4	0.029451543	11	11
ACC2_ORYSJ	0.726784748	6	6	0.040365925	14	14
ACCH1_ARATH	0.211907847	6	6	0.019220242	8	8
ACCH2_ARATH	0.652550323	2	2	0.551343387	2	2
ACCH3_ARATH	0.513784233	4	4	0.179206919	4	4
ACCH4_ARATH	0.933552127	2	2	0.910300109	2	2
ACCO_MUSAC	0.662717694	2	2	0.853687046	2	2
ACCO1_DORSP	0.390280917	1	1	NA	NA	NA
ACCO1_MALDO	0.463170176	1	1	NA	NA	NA
ACCO1_ORYSI	0.071955339	3	3	0.019023523	3	3
ACD11_ARATH	0.315924952	3	3	0.090927108	4	4
ACD6_ARATH	0.451139412	2	2	NA	NA	NA
ACDH_ARATH	0.532665231	1	1	0.506277396	2	2
ACEA_ORYSJ	0.637470889	1	1	NA	NA	NA
ACER3_MOUSE	0.285968552	1	1	0.434014498	1	1
ACET1_MAIZE	1	1	1	0.461164988	4	4
ACET1_ORYSJ	0.310214751	2	2	0.492675094	2	2
ACFR1_ARATH	0.811339141	1	1	NA	NA	NA
ACFR2_ARATH	0.644121933	1	1	0.04647659	3	3
ACFR2_MAIZE	0.298492765	4	4	0.496012256	4	4
ACH11_ARATH	0.276495908	5	5	0.51453838	2	2
ACINU_HUMAN	0.709638334	1	1	0.484518036	3	3
ACINU_MOUSE	0.700972061	1	1	NA	NA	NA
ACL5_ARATH	0.848397374	4	4	0.43747836	3	3
ACLA1_ORYSJ	0.307241621	4	4	NA	NA	NA
ACLA2_ORYSJ	0.607336004	1	1	1	2	2
ACLA3_ORYSJ	0.677089591	2	2	0.543304939	2	2
ACLB1_ORYSJ	0.353388747	2	2	0.422878546	1	1
ACMAT_VITLA	0.216391962	2	2	0.384143184	1	1
ACO1_ARATH	1	1	1	NA	NA	NA
ACO13_MOUSE	0.385499116	2	2	NA	NA	NA
ACO13_PONAB	0.342020806	2	2	0.614972281	2	2
ACO2M_ARATH	0.691115267	1	1	NA	NA	NA
ACOC_CUCMA	0.084566375	3	3	NA	NA	NA
ACOC_CUCMC	0.238924626	1	1	0.588752607	1	1
ACOC_ORYSJ	0.174530148	12	12	0.042724771	15	15
ACOT8_RAT	0.384767878	4	4	0.077932927	4	4
ACOT9_MOUSE	0.921156901	1	1	0.54239868	1	1
ACOX1_ARATH	0.274627575	6	6	0.151051943	4	4
ACOX2_ARATH	0.435900207	4	4	0.471312936	2	2
ACOX2_CUCMA	0.604229076	2	2	1	1	1
ACOX3_ARATH	0.835799675	2	2	0.109909756	4	4
ACOX4_ARATH	0.001914189	5	5	0.269416817	5	5
ACP1_HORVU	0.454961101	3	3	0.552872584	1	1
ACP3_HORVU	0.110448328	8	8	0.083506265	7	7
ACP4_ARATH	0.095259175	5	5	0.000419569	2	2
ACPH_BOVIN	0.917794719	1	1	NA	NA	NA
ACPH_PIG	0.756709344	1	1	NA	NA	NA
ACPH_RAT	0.177266763	1	1	NA	NA	NA
ACPM1_ARATH	0.386978371	1	1	0.305414108	2	2
ACPM2_ARATH	0.48322353	2	2	0.814723404	2	2
ACR10_ARATH	0.672420481	2	2	0.567589604	4	4
ACR12_ARATH	0.179180634	4	4	0.606396168	1	1
ACR21_ORYSJ	0.02322011	8	8	0.408746284	4	4
ACR22_ORYSJ	0.483026636	1	1	0.469858797	1	1
ACR3_ARATH	0.021290963	3	3	0.440153879	2	2
ACR4_ARATH	0.203029715	19	19	0.089784335	8	8
ACR5_ARATH	0.454937315	1	1	0.799898241	1	1
ACR6_ARATH	0.155305646	5	5	0.43286068	7	7
ACR8_ARATH	0.137939361	2	2	NA	NA	NA
ACR9_ARATH	0.703967919	5	5	0.380022688	5	5
ACS_ARATH	0.67294972	6	6	0.250920572	5	5
ACSS_MAIZE	0.007612405	13	13	0.029229777	7	7
ACT1_MAIZE	0.110469065	4	4	0.832213385	1	1
ACT1_ORYSJ	0.301597398	2	2	0.849629949	1	1
ACT1_TOBAC	0.902306046	1	1	0.817029577	2	2
ACT10_SOLTU	0.072795178	2	2	0.283389438	3	3
ACT11_SOLTU	0.527975115	6	6	0.632423351	3	3
ACT2_ORYSJ	0.005282038	4	4	0.01972983	3	3
ACT3_ARATH	0.645669671	1	1	NA	NA	NA
ACT3_ORYSJ	0.147949402	8	8	0.153390895	6	6
ACT7_ARATH	0.499462647	8	8	0.909844794	1	1
ACT7_ORYSJ	0.303255802	8	8	0.39352661	7	7
ACT7_TOBAC	0.539641988	1	1	NA	NA	NA
ACTM_LYTPI	0.267493573	2	2	0.677398617	1	1
ACY1_DICDI	0.238687851	3	3	0.465056154	5	5
ACY1_HUMAN	0.252432257	1	1	NA	NA	NA
ACY1_MOUSE	0.43382344	2	2	0.20797136	5	5
ACY1_PIG	0.354334075	3	3	0.493032937	2	2
ACYP_SPHWW	0.541608917	2	2	NA	NA	NA
ADAL_BOVIN	0.825874185	2	2	0.295441234	1	1
ADAL_HUMAN	0.443629007	1	1	NA	NA	NA
ADAT3_DANRE	0.663919764	1	1	NA	NA	NA
ADAT3_MOUSE	0.750136457	2	2	0.365991043	3	3
ADC2_ORYSJ	0.033352393	3	3	0.002981903	4	4
ADCK1_HUMAN	0.454708086	2	2	0.588835809	2	2
ADCK1_XENLA	1	1	1	NA	NA	NA
ADCK1_XENTR	0.066548553	3	3	NA	NA	NA
ADCK2_HUMAN	0.857046208	1	1	NA	NA	NA
ADCK4_RAT	0.540282415	1	1	0.859759798	1	1
ADCS_ORYSJ	0.016437956	3	3	0.157025844	6	6
ADEP_ECOLI	1	1	1	NA	NA	NA
ADF2_ORYSJ	0.236023894	6	6	0.195643186	5	5
ADF3_MAIZE	0.428650143	2	2	0.680573667	1	1
ADF3_ORYSJ	1	1	1	0.834149692	1	1
ADF5_ORYSJ	1.36E-08	6	6	5.77E-06	5	5
ADF7_ORYSJ	0.821892217	1	1	0.88969351	1	1
ADH1_MAIZE	0.355506599	1	1	0.079577001	2	2
ADH2_MAIZE	0.407647278	4	4	0.655893298	2	2
ADHL3_ARATH	0.095857108	3	3	0.024438935	6	6
ADHL4_ARATH	0.235420296	2	2	0.386410951	2	2
ADHL5_ARATH	0.491977686	3	3	0.813389834	1	1
ADHL6_ARATH	0.881398034	1	1	0.876492699	1	1
ADHX_MAIZE	0.95074458	1	1	0.307415946	4	4
ADIP_HUMAN	0.749582278	2	2	0.712492275	1	1
ADK2_ARATH	0.074712088	5	5	0.651554889	1	1
ADLO1_ARATH	0.619962899	5	5	0.085010498	7	7
ADNT1_ARATH	0.092878803	3	3	0.055715817	6	6
ADO1_ORYSJ	0.01274395	12	12	0.085527453	17	17
ADO2_ORYSJ	0.170170881	4	4	0.244957221	5	5
ADO3_ORYSJ	0.320516969	4	4	0.40582223	4	4
ADPO1_ORYSJ	0.686187353	2	2	NA	NA	NA
ADPO3_ORYSJ	0.025926838	5	5	0.284465925	4	4
ADPPT_XENLA	0.432654355	2	2	NA	NA	NA
ADPRM_ORYSJ	0.636739014	2	2	0.2174718	3	3
ADT_ORYSJ	0.948433405	1	1	NA	NA	NA
ADT1_MAIZE	0.512453602	2	2	0.574955675	1	1
ADT3_ARATH	0.977883848	1	1	0.892897601	1	1
ADT4_ARATH	0.895230731	1	1	NA	NA	NA
ADT5_ARATH	0.032316607	3	3	0.706928797	2	2
AE7_ARATH	0.743962492	1	1	0.821604953	2	2
AEE18_ARATH	0.065479482	8	8	0.497550007	2	2
AEE7_ARATH	0.609228312	4	4	0.924189292	2	2
AEL1_ARATH	0.304921555	4	4	0.179574074	5	5
AFC1_ARATH	0.100102523	8	8	0.088632023	10	10
AFC2_ARATH	0.036868688	20	20	0.00237319	21	21
AFC3_ARATH	0.353345306	4	4	0.016778154	3	3
AFG1_YEAST	2.83E-05	3	3	NA	NA	NA
AGAL_COFAR	0.49167023	1	1	NA	NA	NA
AGAL_ORYSJ	0.591273568	4	4	0.026632765	5	5
AGAL1_ARATH	0.095800685	5	5	0.174856564	5	5
AGAL3_ARATH	0.10610997	5	5	0.080665958	3	3
AGCT2_HORVU	1	1	1	NA	NA	NA
AGD11_ARATH	0.439613419	2	2	0.777163059	1	1
AGD12_ARATH	0.429889335	7	7	0.000836676	9	9
AGD14_ARATH	5.25E-06	13	13	0.747648318	5	5
AGD2_ARATH	0.836812993	2	2	0.39310505	3	3
AGD3_ARATH	0.700213822	1	1	1	1	1
AGD4_ARATH	0.368799353	3	3	NA	NA	NA
AGD5_ARATH	0.521685808	4	4	0.33443428	7	7
AGD6_ARATH	0.081160112	5	5	0.593339879	3	3
AGD7_ARATH	0.927028321	1	1	NA	NA	NA
AGD8_ARATH	0.07330809	5	5	0.367157743	3	3
AGD9_ARATH	0.215139407	3	3	0.633636518	1	1
AGGL_ABRPR	0.048855752	1	1	NA	NA	NA
AGL2_BACTQ	0.769961772	4	4	0.718389434	3	3
AGLU_ORYSJ	0.164814119	2	2	0.674469376	1	1
AGLUP_ARATH	0.462990901	3	3	0.841707971	2	2
AGM1_ORYSJ	0.650222685	4	4	0.590262891	3	3
AGO1_ARATH	0.362909788	1	1	0.395909976	1	1
AGO13_ORYSJ	1	1	1	0.676532235	1	1
AGO16_ORYSJ	0.78964041	5	5	0.570555231	3	3
AGO1A_ORYSJ	0.627719641	4	4	0.752493243	6	6
AGO1B_ORYSJ	0.050102156	27	27	0.135943849	13	13
AGO1C_ORYSJ	0.377668478	6	6	0.231307396	8	8
AGO4A_ORYSJ	0.162175392	9	9	0.061928671	7	7
AGO4B_ORYSJ	0.312161175	6	6	0.427316425	2	2
AGP30_ARATH	0.717796503	1	1	NA	NA	NA
AGT21_ARATH	0.339834643	2	2	0.181022769	3	3
AGT22_ARATH	0.16646498	1	1	1	1	1
AGT23_ARATH	0.25874552	2	2	0.546882027	2	2
AGUA_ARATH	0.026625315	3	3	0.017833484	4	4
AGUB_ORYSJ	0.17120364	4	4	0.615214169	2	2
AHL1_ARATH	0.558865824	4	4	0.435389125	2	2
AHL10_ARATH	0.14246642	9	9	0.108203452	5	5
AHL13_ARATH	0.393546427	1	1	0.553194872	2	2
AHL9_ARATH	0.75204823	2	2	0.352430992	1	1
AHSA_DICDI	0.181562624	1	1	0.141182774	1	1
AHSA1_HUMAN	0.702521078	1	1	1	1	1
AI5L2_ARATH	0.060876679	7	7	0.328266851	4	4
AI5L3_ARATH	0.153130348	1	1	NA	NA	NA
AI5L5_ARATH	0.899913027	1	1	0.173737458	3	3
AI5L6_ARATH	0.168910585	3	3	0.753624428	1	1
AI5L7_ARATH	0.227281658	3	3	0.789441935	1	1
AIB_ARATH	0.10896576	2	2	0.048135693	3	3
AIFM2_TAEGU	1	1	1	0.321911154	2	2
AIG1_ARATH	0.306884778	4	4	0.623287193	2	2
AIG2_ARATH	0.284106339	6	6	0.82275716	4	4
AIG2L_ARATH	0.023201787	3	3	NA	NA	NA
AIL1_ARATH	5.49E-05	5	5	0.675928111	1	1
AIL5_ARATH	0.350782568	1	1	0.648124632	2	2
AIM32_LACTC	0.834445338	1	1	NA	NA	NA
AIP2_ARATH	0.364573003	2	2	0.862239951	1	1
AIR3_ARATH	0.12944219	4	4	0.316157332	3	3
AIR9_ARATH	0.058290459	11	11	0.182598601	8	8
AK1_ARATH	0.278761059	7	7	0.108478823	4	4
AK1H_ECOLI	0.640801392	4	4	NA	NA	NA
AK2_ARATH	0.220065701	1	1	NA	NA	NA
AKH1_MAIZE	0.19339674	6	6	0.162665384	3	3
AKH2_MAIZE	0.039795285	9	9	0.324375503	4	4
AKR1_NEUCR	1	1	1	NA	NA	NA
AKR1_ORYSJ	0.435277359	1	1	NA	NA	NA
AKR1_SOYBN	0.151265818	14	14	0.46353055	15	15
AKR2_ORYSJ	0.226150726	4	4	0.090154344	5	5
AKR2A_ARATH	0.175966385	14	14	0.035239881	14	14
AKR3_ORYSI	0.314343046	1	1	0.35782311	3	3
AKRC9_ARATH	0.098951946	4	4	0.586992694	3	3
AKRCA_ARATH	0.102865871	3	3	0.059685431	4	4
AKRP_ARATH	0.248387622	1	1	0.096987449	1	1
AKT1_ORYSI	0.091738541	6	6	0.29035717	4	4
AKT1_ORYSJ	0.277141614	4	4	0.11068044	3	3
AKT2_ARATH	1	1	1	NA	NA	NA
AKT2_ORYSJ	0.330633971	6	6	0.099897341	7	7
AL121_ARATH	0.049382135	2	2	0.920435556	1	1
AL221_ARATH	0.449844861	4	4	0.194513672	4	4
AL2B7_ARATH	0.471609558	2	2	0.6569236	1	1
AL2C4_ARATH	0.182990122	4	4	0.494265969	3	3
AL3F1_ARATH	0.500886141	4	4	0.82888348	1	1
AL3H1_ARATH	0.995207107	1	1	0.570280932	4	4
AL3I1_ARATH	0.63568368	2	2	NA	NA	NA
AL7A1_MALDO	0.203353727	2	2	0.435811737	4	4
AL7B4_ARATH	0.748734917	1	1	0.952215736	1	1
ALA1_ARATH	0.45355943	14	14	0.247323639	8	8
ALA10_ARATH	0.299059156	2	2	1	1	1
ALA11_ARATH	0.468766427	2	2	NA	NA	NA
ALA12_ARATH	0.731534413	4	4	0.521402904	4	4
ALA2_ARATH	0.050821352	10	10	0.180757463	7	7
ALA2_PANMI	0.271485978	4	4	0.162031992	5	5
ALA3_ARATH	0.498084903	3	3	0.016602696	8	8
ALA4_ARATH	0.196641839	3	3	0.107013599	2	2
ALA5_ARATH	0.204439704	1	1	0.883285471	1	1
ALA6_ARATH	1	2	2	0.691317129	3	3
ALA8_ARATH	0.17121934	4	4	0.449344707	2	2
ALA9_ARATH	0.438703714	5	5	0.254900935	3	3
ALAXL_PYRHO	0.094459059	2	2	0.133776879	5	5
ALB2_PEA	0.82897793	3	3	0.408104713	3	3
ALB3_ARATH	0.230803126	4	4	0.518265408	2	2
ALB3_MAIZE	0.593190552	1	1	NA	NA	NA
ALB31_ARATH	0.769513134	1	1	0.736836946	1	1
ALB33_ARATH	0.540175656	1	1	NA	NA	NA
ALDH_CRAPL	0.527340591	3	3	NA	NA	NA
ALDO1_MAIZE	0.132354075	3	3	0.138223277	7	7
ALDO1_ORYSJ	0.482959314	2	2	1	1	1
ALDO2_MAIZE	0.13574943	16	16	0.110659631	13	13
ALDO2_ORYSJ	0.122693281	2	2	NA	NA	NA
ALDOL_ORYSJ	0.343076531	5	5	0.454392968	2	2
ALDR_HORVU	0.363554163	3	3	NA	NA	NA
ALE2_ARATH	0.041917209	8	8	0.530239781	6	6
ALF_ARATH	0.189099881	2	2	0.131969853	1	1
ALF_MAIZE	0.167552377	11	11	0.605093964	4	4
ALF_ORYSJ	0.777513763	2	2	0.584666213	2	2
ALF1_PEA	0.062242801	4	4	0.132190087	5	5
ALF4_ARATH	0.191068638	6	6	0.609090088	3	3
ALFC_ORYSJ	0.073043537	8	8	0.041816327	7	7
ALFC3_ARATH	0.333096843	4	4	0.404913381	2	2
ALFL1_ORYSJ	0.100914014	6	6	1	1	1
ALFL3_ARATH	0.42760893	1	1	NA	NA	NA
ALFL3_ORYSJ	0.148572129	4	4	0.84291389	4	4
ALFL5_ORYSJ	0.402870096	3	3	0.626002223	5	5
ALFL6_ORYSI	0.930358683	1	1	0.343782559	1	1
ALFL6_ORYSJ	0.687978257	3	3	0.662340374	3	3
ALFL7_ARATH	0.647067535	2	2	0.727359231	2	2
ALFL7_ORYSI	0.718326866	1	1	0.67235884	3	3
ALFL7_ORYSJ	0.202701474	6	6	0.088462405	3	3
ALFL8_ORYSJ	0.579821149	4	4	0.801060512	3	3
ALFL9_ORYSI	0.202999986	6	6	NA	NA	NA
ALG11_ARATH	0.151444069	4	4	1	1	1
ALG12_ARATH	1	1	1	0.595542724	1	1
ALG13_RAT	0.689279035	1	1	0.647331607	1	1
ALG14_MOUSE	0.602492671	3	3	0.411004991	1	1
ALG2_MOUSE	1	1	1	0.501795018	2	2
ALG2_RHIPU	0.778639979	1	1	NA	NA	NA
ALG3_ARATH	0.351059352	1	1	NA	NA	NA
